# Endlink Bedrock block joining faces. Generated: do not edit by hand.
#
# One line per Bedrock block state that a fence, glass pane, iron or copper bar or wall reaches out
# to, and nothing for the ones none of them touch. The id is the hashed block network id a 1.26.40 to
# 1.26.45 backend sends; the word is sixteen bits, one per side and joining kind, laid out exactly as
# Java's own rule answers it: bit (side * 4 + kind) is set when a joining block of that kind standing
# on that side of this block reaches it. Sides are north, south, west, east in that order, and the
# kinds are 0 wooden fence, 1 glass pane and bar, 2 wall, 3 nether brick fence.
#
# Provenance. The facts are Java's, because 1.26.50's minecraft:connection_* states exist for parity
# with Java, and they were extracted by running the official Java server's own connectsTo and
# attachsTo against its own registry for every block state on every side - not by restating the rule.
# That extraction, and the Bedrock-to-Java block-state mapping used to key it by Bedrock id, are both
# Apache-2.0 generated artifacts of the viaendlink-next project:
#
#   viaendlink-next  java-protocol-latest/.../java-776-connections.txt   (tools/GenerateJava776Connections.java)
#   viaendlink-next  endlink-plugin/.../bedrock-2168-blocks.txt          (tools/GenerateBedrockBlockMapping.java)
#
# whose own inputs are Mojang's official Java server and block report, CloudburstMC/Data's Bedrock
# 2168 block palette (Apache-2.0) and GeyserMC/mappings (MIT). No GPL-licensed work is involved at
# any step, which the licence separation in WORKSPACE.md requires.
#
# Checked on generation against blocks whose answer is known from Java's source: stone, dirt and
# glass are reached on all four sides by every kind; barrier is reached by none, because Java's
# isExceptionForConnection excludes it; an oak fence is reached by fences and by nothing else; and a
# glass pane is reached by panes and walls but never by a fence.
bedrock 2169
kinds 4
faces 8593
face -1073810453 ffff
face -1073674116 6666
face -1072440050 6666
face -1072274521 ffff
face -1072237049 ffff
face -1071154533 0f00
face -1069277270 6666
face -1068683008 6666
face -1068641811 6666
face -1068555825 6666
face -1068513668 00f0
face -1068324259 6666
face -1067908170 000f
face -1067797889 6666
face -1067436763 6666
face -1067198061 ffff
face -1066995586 6666
face -1066039957 6666
face -1065700081 6666
face -1065516013 6666
face -1064531575 6666
face -1064364673 6666
face -1063903373 6666
face -1063856199 6666
face -1063441414 6666
face -1063352158 ffff
face -1062777121 6666
face -1062772016 ffff
face -1061815250 6666
face -1061341799 6666
face -1061213322 6666
face -1060882872 6666
face -1060684122 6666
face -1059697426 dd00
face -1059414254 6666
face -1058540191 f000
face -1057895954 6666
face -1057700972 6666
face -1056205883 ffff
face -1055141253 6666
face -1054214397 6666
face -1054044407 0f00
face -1053797840 ffff
face -1053038546 ffff
face -1052582365 ffff
face -1052300822 f000
face -1052128402 ffff
face -1051929754 6666
face -1050826125 6666
face -1049238049 6666
face -1048758980 6666
face -1048291477 6666
face -1048049174 ffff
face -1047830858 ffff
face -1047679377 6666
face -1047665833 6666
face -1046935740 6666
face -1046554283 6666
face -1046429386 0f00
face -1045360458 ffff
face -1045305297 6666
face -1044048057 ffff
face -1043587157 000f
face -1043444515 6666
face -1043386871 6666
face -1042265594 6666
face -1041432619 ffff
face -1040123092 ffff
face -1039811762 6666
face -1039550244 ffff
face -1038638166 6666
face -1038419687 6666
face -1038249763 ffff
face -1037958478 ffff
face -1037911308 6666
face -1037882073 ffff
face -1036970060 6666
face -1036908501 ffff
face -1036845948 00f0
face -1036313043 ffff
face -1035950027 0f00
face -1035698376 6666
face -1035293285 6666
face -1035232811 6666
face -1035162985 ffff
face -1034897857 ffff
face -1033822428 ffff
face -1033760006 6666
face -1033703307 6666
face -1033247272 6666
face -1033166670 6666
face -1032969522 0f00
face -1032617971 6666
face -1032570613 6666
face -1032256860 6666
face -1031286240 6666
face -1030667416 6666
face -1030302752 6666
face -1030173890 6666
face -1029639049 6666
face -1029424327 ffff
face -1029235623 6666
face -1029190725 00f0
face -1029152432 00f0
face -1028877981 6666
face -1028480520 6666
face -1028342827 0f00
face -1027706305 6666
face -1027701740 000f
face -1026180862 0f00
face -1026093617 ffff
face -1025540930 6666
face -1025346714 6666
face -1025298870 00f0
face -1025025254 ffff
face -1023335712 6666
face -1023325162 0f00
face -1022832096 6666
face -1022328552 ffff
face -1021257378 6666
face -1020971720 6666
face -1019587837 0f00
face -1019108663 6666
face -1016714960 6666
face -1016199867 6666
face -1014222380 6666
face -1013598791 ffff
face -1012847202 6666
face -1012393602 6666
face -1011976393 6666
face -1011696902 ffff
face -1011282836 6666
face -1010799698 ffff
face -1010695324 6666
face -1010270367 00f0
face -1009617316 6666
face -1009262260 6666
face -1009234230 ffff
face -1008597455 6666
face -1008489317 ffff
face -1007364692 6666
face -1007257879 6666
face -1006433347 000f
face -1006310130 6666
face -1006180636 6666
face -1006050232 6666
face -1005263280 6666
face -1004990747 ffff
face -1004558979 6666
face -1004276182 6666
face -1002407858 6666
face -1002343095 6666
face -1001166384 ffff
face -1001133018 6666
face -1000267561 6666
face -999645338 6666
face -999621794 6666
face -998654761 0f00
face -998289306 6666
face -997564341 6666
face -997433644 ffff
face -997106375 6666
face -997065368 0f00
face -996427724 6666
face -996233528 6666
face -995221937 ffff
face -994191305 6666
face -993593480 6666
face -993126685 ffff
face -992754109 6666
face -992628298 ffff
face -992569584 f000
face -992480515 6666
face -992062918 6666
face -991802197 ffff
face -991225484 000f
face -991205925 6666
face -990043839 ffff
face -988554647 6666
face -987814186 6666
face -987772942 6666
face -987245433 00f0
face -985288528 6666
face -985159571 6666
face -984893776 6666
face -984819251 6666
face -984162650 ffff
face -983121721 f000
face -982907319 ffff
face -982573234 ffff
face -980919338 ffff
face -980560054 6666
face -979990495 6666
face -979957796 ffff
face -979241689 ffff
face -977843169 6666
face -977348780 6666
face -976774940 ffff
face -976483655 ffff
face -976407250 ffff
face -976051107 6666
face -975433678 ffff
face -974838220 ffff
face -974475204 f000
face -973688162 ffff
face -973431742 6666
face -973385868 6666
face -972619335 6666
face -972308615 ffff
face -972292137 00dd
face -972067809 0f00
face -972013730 6666
face -971417192 6666
face -971383025 ffff
face -970783061 6666
face -970681866 6666
face -969923131 0f00
face -968548190 6666
face -968273907 6666
face -967986070 6666
face -967869385 6666
face -967795436 f000
face -967645039 6666
face -966868004 f000
face -966802658 ffff
face -966746539 6666
face -965728920 6666
face -965534039 6666
face -964618794 ffff
face -964602581 6666
face -963824047 00f0
face -962818087 6666
face -962780010 6666
face -962372139 6666
face -961850339 00f0
face -960977429 0f00
face -960915034 6666
face -960312983 000f
face -960306314 6666
face -958113014 f000
face -958106795 00f0
face -957353153 6666
face -957179064 0f00
face -956048664 6666
face -956047346 6666
face -955202076 6666
face -954925983 6666
face -954670222 000f
face -953870598 6666
face -952426117 0f00
face -952123968 ffff
face -952050789 6666
face -951847437 00dd
face -951240378 6666
face -951110268 6666
face -950912584 6666
face -950547642 6666
face -950276681 6666
face -949324875 ffff
face -948560095 6666
face -948239401 6666
face -947408202 6666
face -946676683 6666
face -945883821 000f
face -944958524 000f
face -944216254 00f0
face -944086824 6666
face -944019839 6666
face -943716899 6666
face -942984850 6666
face -942817499 0f00
face -942682849 00f0
face -940412574 6666
face -940029948 00f0
face -939070369 ffff
face -937846116 6666
face -937574144 6666
face -937432156 ffff
face -937073047 ffff
face -936917324 6666
face -935543244 6666
face -934764588 6666
face -934270555 6666
face -933747114 ffff
face -933537210 6666
face -933333861 ffff
face -933102201 6666
face -932317124 6666
face -932149460 6666
face -931059817 6666
face -930832518 6666
face -930454313 6666
face -930141390 6666
face -930063638 6666
face -929109855 6666
face -929024327 ffff
face -928804266 6666
face -928692652 6666
face -928483380 6666
face -928462255 ffff
face -927425503 6666
face -927179218 6666
face -926474054 6666
face -926081177 6666
face -925736313 000f
face -925502508 ffff
face -925097910 ffff
face -924819033 000f
face -924682749 6666
face -923647466 6666
face -922684530 0f00
face -921646898 0f00
face -921098411 ffff
face -919343969 f000
face -918157389 000f
face -918010712 6666
face -917006857 000f
face -916725321 6666
face -916394675 6666
face -916348800 6666
face -915300117 ffff
face -915008832 ffff
face -914932427 ffff
face -914397831 6666
face -914345029 6666
face -913958855 ffff
face -913363397 ffff
face -913311620 ffff
face -912476749 6666
face -912213339 ffff
face -912118402 6666
face -911624701 6666
face -911617242 6666
face -910970269 6666
face -909826196 6666
face -909771811 0f00
face -909691658 ffff
face -908792414 6666
face -908181881 6666
face -907509073 6666
face -906282842 6666
face -904877083 6666
face -903143971 ffff
face -903102969 6666
face -903054702 6666
face -902482271 00f0
face -902349224 00f0
face -901571012 6666
face -900375516 000f
face -899889894 ffff
face -898973179 6666
face -898036037 6666
face -897862528 6666
face -897339729 6666
face -897171001 6666
face -896638191 000f
face -896522335 6666
face -895626219 6666
face -895400796 6666
face -894787332 6666
face -894119224 6666
face -893113347 6666
face -892451274 6666
face -891903874 6666
face -891466467 6666
face -891340970 6666
face -891111265 6666
face -890951294 0f00
face -890732749 ffff
face -889800038 6666
face -889571033 6666
face -887850052 ffff
face -887214257 ffff
face -886770117 f000
face -886417685 6666
face -886317945 ffff
face -886060887 6666
face -884914798 6666
face -884679367 6666
face -884408998 00f0
face -884100617 6666
face -882848088 6666
face -882793434 000f
face -882779791 6666
face -882554691 ffff
face -882318959 6666
face -882114695 6666
face -881686142 6666
face -880280461 6666
face -879427200 6666
face -879410791 6666
face -877535215 6666
face -876597096 6666
face -876552468 6666
face -875800165 6666
face -873044461 6666
face -873036899 0f00
face -872869395 6666
face -872413679 00dd
face -872272291 ffff
face -871632133 f000
face -871068040 6666
face -870322330 6666
face -868614077 ffff
face -868086116 6666
face -867783388 0f00
face -867656207 6666
face -867326758 6666
face -866964868 6666
face -866143187 6666
face -865412923 6666
face -864756813 6666
face -864740704 6666
face -864725521 000f
face -864261490 000f
face -863863281 6666
face -863344210 00f0
face -861982199 0f00
face -861980641 6666
face -861776546 6666
face -861655115 6666
face -861416789 6666
face -860295825 6666
face -860172075 00f0
face -860164793 6666
face -860067958 6666
face -859813825 6666
face -859788187 ffff
face -859623588 ffff
face -858454146 ffff
face -857869146 0f00
face -857194834 ffff
face -856682566 000f
face -856361902 6666
face -855547043 ffff
face -855532034 000f
face -855218123 6666
face -855164049 6666
face -855111707 6666
face -854933730 ffff
face -854493846 6666
face -854398268 6666
face -853825294 ffff
face -853707174 f000
face -853691947 6666
face -853457604 ffff
face -853393753 00f0
face -853144931 6666
face -852839870 6666
face -852592783 00f0
face -852484032 ffff
face -852438563 f000
face -851940503 6666
face -851888574 ffff
face -851878527 6666
face -851789095 6666
face -850738516 ffff
face -850076478 6666
face -850019252 ffff
face -849651197 6666
face -849483033 6666
face -849395469 6666
face -848804600 6666
face -848277812 6666
face -846969746 6666
face -846277988 000f
face -846135409 ffff
face -846089204 6666
face -845989086 6666
face -844768787 6666
face -844179237 f000
face -843891178 0f00
face -842110736 ffff
face -841869428 6666
face -841862564 ffff
face -841669148 ffff
face -841523690 6666
face -841506716 ffff
face -840549627 00f0
face -840174461 6666
face -839128290 000f
face -839022287 6666
face -839016726 6666
face -838958525 6666
face -837893949 ffff
face -836665075 6666
face -836162375 6666
face -835163368 00f0
face -835039371 6666
face -834443587 6666
face -834373261 6666
face -833845975 000f
face -833776436 6666
face -832508172 6666
face -832067509 ffff
face -832040304 f000
face -831947792 ffff
face -831469991 ffff
face -830654345 1111
face -830308052 6666
face -829476471 0f00
face -829257926 ffff
face -828918060 6666
face -828600649 6666
face -828466499 6666
face -827841294 6666
face -826008811 6666
face -824218822 6666
face -822934175 0f00
face -822737864 6666
face -822523819 6666
face -822497569 6666
face -822433241 6666
face -820684024 6666
face -819992741 ffff
face -818421172 6666
face -817736309 dd00
face -817371441 6666
face -816485022 6666
face -816285002 ffff
face -814686073 ffff
face -813861152 6666
face -812394138 6666
face -811512368 6666
face -810797468 ffff
face -810792802 ffff
face -810041864 6666
face -809386104 6666
face -809380911 ffff
face -808591962 6666
face -807705698 6666
face -807668054 6666
face -807363610 00f0
face -807139254 ffff
face -807105846 6666
face -806598097 00f0
face -806417247 6666
face -805589916 6666
face -805371885 6666
face -804199846 6666
face -803737640 ffff
face -803630279 6666
face -803506320 6666
face -803250698 000f
face -803086049 ffff
face -802786667 000f
face -802622690 6666
face -801869387 0f00
face -801389114 00dd
face -799707380 6666
face -798697252 000f
face -798311734 ffff
face -797851601 0f00
face -797823235 6666
face -797754288 6666
face -797674974 f000
face -797264567 0f00
face -797242374 6666
face -797105945 6666
face -796479303 6666
face -796394323 00f0
face -796234080 6666
face -795672732 000f
face -795313332 6666
face -795207743 000f
face -794057211 000f
face -793266007 6666
face -792841212 00f0
face -792779279 ffff
face -792735012 6666
face -792671790 6666
face -792350471 ffff
face -791982781 ffff
face -791591926 6666
face -790876177 6666
face -790829512 000f
face -790014190 6666
face -788491128 6666
face -788278692 6666
face -787215121 6666
face -786553824 6666
face -785996995 6666
face -785428094 6666
face -784998810 6666
face -784851161 6666
face -784660586 ffff
face -781413973 ffff
face -781178116 6666
face -780194325 ffff
face -780001630 6666
face -779774931 ffff
face -779293066 6666
face -778510124 6666
face -777698173 000f
face -776957290 6666
face -776806658 6666
face -776483186 6666
face -776419126 ffff
face -775919989 ffff
face -773195354 6666
face -772850765 6666
face -772594918 f000
face -770632776 6666
face -770570141 6666
face -770525754 6666
face -770518815 00f0
face -770340839 6666
face -769968480 6666
face -769833176 1111
face -769448722 6666
face -769105932 6666
face -769046968 6666
face -768374220 6666
face -768079651 ffff
face -768001648 0f00
face -767783103 ffff
face -767723897 f000
face -766034121 f000
face -765177356 6666
face -765002677 ffff
face -764383230 6666
face -764096133 00f0
face -763577037 6666
face -763491686 6666
face -763439221 00f0
face -761662920 6666
face -761522253 00f0
face -761459352 f000
face -760139109 6666
face -759823816 00f0
face -759443546 6666
face -759068344 6666
face -757901418 f000
face -756972117 00f0
face -756840050 6666
face -756356951 6666
face -756248347 6666
face -755574954 6666
face -753526976 6666
face -752724584 000f
face -752294306 6666
face -751283424 6666
face -750926001 6666
face -750783209 6666
face -750717224 f000
face -750459035 6666
face -749999462 6666
face -746932240 6666
face -746116502 6666
face -745664431 ffff
face -745400290 f000
face -745123274 000f
face -744921699 6666
face -743453900 6666
face -741775875 000f
face -741579894 6666
face -741311844 000f
face -740394564 f000
face -739683918 6666
face -739016201 6666
face -738854294 6666
face -738308607 6666
face -737286021 6666
face -737266359 6666
face -736463769 ffff
face -736376778 0f00
face -735275266 ffff
face -734919500 000f
face -734176589 ffff
face -733732920 000f
face -732889005 6666
face -732582388 000f
face -730875648 ffff
face -730507958 ffff
face -730432788 6666
face -730237073 6666
face -730050875 6666
face -729786393 6666
face -728284708 6666
face -727989583 00f0
face -726831051 6666
face -726416569 ffff
face -724755513 6666
face -723599102 6666
face -723210833 6666
face -723185763 ffff
face -722453274 6666
face -721532654 f000
face -720994768 6666
face -720880299 6666
face -720577867 000f
face -719936905 00f0
face -719167094 6666
face -718994574 6666
face -718719502 ffff
face -718533906 6666
face -718214750 6666
face -716993394 6666
face -716884607 6666
face -716223350 00f0
face -715316318 6666
face -714968846 6666
face -714944303 ffff
face -714253436 000f
face -714049964 6666
face -711175348 6666
face -708634817 6666
face -708415529 6666
face -706445801 000f
face -706308280 ffff
face -704971746 6666
face -704807253 6666
face -704559298 0f00
face -704440655 6666
face -703815290 6666
face -702993077 6666
face -702331225 0f00
face -701964398 000f
face -700755814 6666
face -699561087 00f0
face -699295795 0f00
face -699288769 6666
face -699133633 6666
face -699028261 6666
face -698328584 dd00
face -698198867 6666
face -697938230 6666
face -697787176 6666
face -697488975 6666
face -696233213 6666
face -696089035 0f00
face -695900852 00f0
face -695261973 6666
face -695152332 6666
face -694933348 6666
face -694474222 6666
face -694276123 6666
face -694190086 6666
face -694178619 dd00
face -693514876 6666
face -693293248 000f
face -692891112 6666
face -692584791 6666
face -692374214 6666
face -692253070 6666
face -691004588 6666
face -690600239 6666
face -689353884 ffff
face -688967288 6666
face -687254327 6666
face -687031707 6666
face -686979308 6666
face -685395962 6666
face -685334405 dd00
face -684189608 ffff
face -683649262 6666
face -683648451 f000
face -683314361 6666
face -682765680 6666
face -681323995 6666
face -680966078 6666
face -680810019 6666
face -680669461 00f0
face -680301052 000f
face -679336387 6666
face -679294390 ffff
face -678709373 6666
face -678327921 6666
face -678317674 6666
face -678242583 6666
face -678140878 f000
face -676926346 6666
face -675616245 6666
face -675260826 000f
face -675233989 6666
face -674901955 0f00
face -674818769 6666
face -674135543 6666
face -674110593 ffff
face -672564218 0f00
face -672557570 6666
face -672471318 6666
face -672026132 dd00
face -671440402 6666
face -670503888 f000
face -669963407 00f0
face -669420257 000f
face -669399284 6666
face -667277270 6666
face -665921634 6666
face -664612573 6666
face -664546716 6666
face -664143333 6666
face -663781279 6666
face -663182873 6666
face -663172013 6666
face -663160027 6666
face -662939349 f000
face -662864085 6666
face -662675653 00dd
face -662072467 00dd
face -661710940 ffff
face -661588962 ffff
face -660266133 ffff
face -658598394 6666
face -658462082 000f
face -657424950 0f00
face -657382656 00f0
face -656901872 6666
face -656748305 6666
face -655400916 6666
face -655229123 6666
face -654824651 6666
face -654748527 0f00
face -653476199 6666
face -653469480 ffff
face -653430058 6666
face -653017287 6666
face -652925544 1111
face -652623927 6666
face -651868690 6666
face -651599229 00f0
face -651423661 00f0
face -651259727 6666
face -650373261 6666
face -649229887 6666
face -648887675 ffff
face -648771114 6666
face -648107909 6666
face -645997848 6666
face -645487936 6666
face -644524710 6666
face -643222153 00f0
face -643170850 6666
face -643084475 00f0
face -640733319 00f0
face -640489575 f000
face -638238292 6666
face -636115687 6666
face -635299750 6666
face -633824710 6666
face -633170897 6666
face -633137878 6666
face -631566945 00f0
face -631161423 6666
face -630602063 6666
face -630399736 6666
face -629073035 6666
face -628765342 6666
face -628129172 6666
face -626976377 6666
face -626752706 6666
face -626499385 6666
face -626335349 6666
face -626295474 ffff
face -625938521 6666
face -625350779 6666
face -624540804 6666
face -624320444 6666
face -623512971 000f
face -623099967 6666
face -622986495 6666
face -622768884 6666
face -622173628 0f00
face -621956508 00f0
face -621856389 0f00
face -620888965 ffff
face -620624209 dd00
face -619665438 f000
face -619587365 0f00
face -619496052 000f
face -619279376 6666
face -618664005 00f0
face -617793149 f000
face -616144680 00dd
face -615845721 6666
face -615670069 f000
face -615534301 00f0
face -615422332 6666
face -614802971 6666
face -614105362 00f0
face -613427132 0f00
face -612635770 ffff
face -612588552 ffff
face -612498946 6666
face -612360039 6666
face -612082009 6666
face -610902037 6666
face -610034608 6666
face -609910518 6666
face -608992737 6666
face -608571069 6666
face -608362539 6666
face -608324273 6666
face -608171292 6666
face -607945434 00f0
face -607518417 6666
face -607429521 00f0
face -606249296 0f00
face -605090842 6666
face -604659434 6666
face -604239683 ffff
face -601528950 6666
face -601464526 0f00
face -601222293 6666
face -600907020 0f00
face -599338975 f000
face -598946736 6666
face -598418753 6666
face -598411549 6666
face -597968385 ffff
face -597718525 6666
face -597488589 6666
face -597230068 ffff
face -596987259 f000
face -596767526 6666
face -596136322 0f00
face -595171822 6666
face -594976397 6666
face -594744113 6666
face -594185504 6666
face -594072892 ffff
face -593896800 6666
face -593390456 ffff
face -593273704 f000
face -592547142 6666
face -591746106 ffff
face -590925401 6666
face -590551836 6666
face -590128097 6666
face -590124406 000f
face -589465091 6666
face -589259206 6666
face -587799552 6666
face -587069730 6666
face -586691982 6666
face -586655056 6666
face -585913453 6666
face -584565375 6666
face -584314532 6666
face -583691228 ffff
face -582868438 6666
face -582597855 6666
face -582278165 6666
face -581828148 6666
face -581609652 000f
face -580349162 6666
face -579588941 6666
face -579335617 000f
face -579014752 0f00
face -579009773 6666
face -578473707 6666
face -578469705 6666
face -578053519 6666
face -577739166 6666
face -577731056 6666
face -577500910 6666
face -577091153 6666
face -576902015 6666
face -576227829 6666
face -576056259 6666
face -574740120 6666
face -574330224 6666
face -573875368 6666
face -572933921 0f00
face -572831509 6666
face -571919420 6666
face -571890951 6666
face -571493940 6666
face -571216421 6666
face -571019003 6666
face -570208787 6666
face -570092122 000f
face -568985505 6666
face -568280129 ffff
face -567310339 000f
face -567203660 ffff
face -566907277 6666
face -565998962 6666
face -564808020 ffff
face -564392180 6666
face -563749763 dd00
face -563697811 ffff
face -562818729 6666
face -562379849 6666
face -561102910 6666
face -560663137 6666
face -560619701 6666
face -560381566 0f00
face -560041321 6666
face -559953040 000f
face -559215430 6666
face -559130689 ffff
face -557674984 6666
face -557655307 6666
face -557422028 6666
face -557189182 000f
face -555822443 6666
face -554865191 6666
face -554175081 6666
face -553988063 6666
face -553188866 6666
face -553011069 6666
face -551454594 6666
face -551160947 ffff
face -551148041 ffff
face -550864225 00f0
face -550252193 00dd
face -550201637 00f0
face -550181417 000f
face -549303616 6666
face -547876815 6666
face -547856102 ffff
face -547739780 6666
face -547680429 ffff
face -547410033 ffff
face -547370396 6666
face -547043014 6666
face -547008199 ffff
face -546470611 0f00
face -546309560 ffff
face -546050425 6666
face -545789262 6666
face -544377580 6666
face -544376439 6666
face -544365507 6666
face -543578282 6666
face -543330379 6666
face -541829054 dd00
face -541680150 6666
face -541302674 ffff
face -540400415 6666
face -539989703 00f0
face -539444374 00dd
face -539321700 0f00
face -538516764 ffff
face -538371803 6666
face -537819124 6666
face -536795963 6666
face -536731693 ffff
face -536493562 ffff
face -536111738 0f00
face -535512436 0f00
face -535467233 6666
face -534543866 6666
face -534402371 6666
face -534382594 6666
face -534166957 00f0
face -533791409 6666
face -533158760 6666
face -532522288 6666
face -532091948 6666
face -531696502 6666
face -531370953 f000
face -531103069 6666
face -530875892 ffff
face -530874091 6666
face -529822051 00dd
face -529782969 6666
face -529273253 6666
face -528649583 f000
face -528305638 6666
face -527866673 6666
face -527691099 6666
face -527429123 6666
face -526997535 00f0
face -526398327 6666
face -526321331 000f
face -524509763 6666
face -523250794 6666
face -522139345 00f0
face -521241906 0f00
face -520977986 6666
face -520840696 6666
face -520199668 6666
face -519500096 0f00
face -518754727 6666
face -518699270 6666
face -516942456 6666
face -516702138 6666
face -515670140 6666
face -515547995 6666
face -515449382 ffff
face -514102875 6666
face -514020670 6666
face -513688525 6666
face -513679553 6666
face -513378072 6666
face -512646590 6666
face -511459098 0f00
face -509780759 6666
face -509622521 f000
face -509447831 6666
face -509289748 6666
face -508617299 f000
face -507808434 6666
face -507048844 6666
face -506896459 ffff
face -506561807 6666
face -505528557 6666
face -505219935 0f00
face -503970955 ffff
face -503810463 f000
face -501655801 00f0
face -500936121 6666
face -500532727 6666
face -500450216 6666
face -499406768 6666
face -499115548 6666
face -499081185 6666
face -498906743 0f00
face -498508081 6666
face -497269770 6666
face -497043135 6666
face -495714359 f000
face -495603150 6666
face -495344765 0f00
face -495333051 6666
face -495272739 ffff
face -494770900 00f0
face -494575696 6666
face -494487144 6666
face -494422145 0f00
face -493269856 6666
face -493119221 ffff
face -492679527 6666
face -492606745 6666
face -492191619 6666
face -491176248 6666
face -490781619 6666
face -490477166 6666
face -490362813 00f0
face -489686124 ffff
face -489389402 00f0
face -488767429 ffff
face -488706594 00f0
face -487185574 6666
face -486451975 f000
face -486417195 6666
face -486147251 000f
face -486068639 6666
face -485935210 ffff
face -485806811 6666
face -485591282 6666
face -485355509 6666
face -485226583 ffff
face -484995788 f000
face -484069229 6666
face -483639893 6666
face -483175267 6666
face -483139727 6666
face -483112350 6666
face -482522850 6666
face -481728840 6666
face -481008913 6666
face -479731474 6666
face -478514880 000f
face -476298465 ffff
face -475470160 6666
face -475380777 00f0
face -474021321 0f00
face -473906232 f000
face -473302105 6666
face -472675545 ffff
face -472557656 6666
face -472156205 6666
face -471918185 0f00
face -470678523 6666
face -470444134 ffff
face -470167590 6666
face -469770959 6666
face -469650320 dd00
face -467174760 0f00
face -465894426 6666
face -465702625 000f
face -463938286 6666
face -463886937 ffff
face -462195591 6666
face -461570541 6666
face -461492786 6666
face -461260133 00f0
face -460816008 00f0
face -460664522 00f0
face -460594672 6666
face -460351717 6666
face -460324587 6666
face -460312783 f000
face -460298639 6666
face -460249092 6666
face -460189774 6666
face -460037948 6666
face -458498775 6666
face -458359938 f000
face -458304585 6666
face -458231363 6666
face -458184874 6666
face -457665070 6666
face -457532569 6666
face -456999737 6666
face -456709468 6666
face -456447929 6666
face -455511021 f000
face -454410487 6666
face -454201033 6666
face -454200678 00f0
face -453269663 6666
face -451157010 6666
face -451017836 6666
face -450476448 6666
face -449984275 0f00
face -449722278 6666
face -447991652 6666
face -447755188 ffff
face -447142476 0f00
face -446617041 6666
face -445554460 6666
face -445421636 ffff
face -445322545 000f
face -445029841 00f0
face -444434116 6666
face -443426698 6666
face -443219080 6666
face -441754243 f000
face -441393017 6666
face -440657258 000f
face -440180978 00f0
face -438673811 6666
face -438621910 0f00
face -438596657 6666
face -438421505 6666
face -438212293 6666
face -437826960 6666
face -437431920 0f00
face -437411943 6666
face -436727175 6666
face -434561388 6666
face -434239536 0f00
face -433869942 f000
face -433812479 6666
face -433812290 f000
face -433256278 6666
face -433127695 6666
face -432947322 0f00
face -432550108 6666
face -432455750 ffff
face -432194466 6666
face -431652996 6666
face -431232669 6666
face -430914872 6666
face -430846518 00f0
face -429197483 6666
face -428887990 000f
face -428860631 6666
face -428722058 6666
face -428259264 ffff
face -427914579 00f0
face -427648493 ffff
face -427512876 6666
face -427406317 6666
face -427231771 0f00
face -425907702 6666
face -425806162 6666
face -425583848 ffff
face -425377351 6666
face -424959282 6666
face -424460387 ffff
face -424239834 6666
face -423062072 6666
face -422815812 6666
face -422417768 f000
face -421326875 6666
face -421290846 6666
face -420038712 6666
face -419584078 6666
face -419472303 f000
face -419240562 dd00
face -418009192 00f0
face -417958331 6666
face -417869835 6666
face -416277407 6666
face -414500051 6666
face -414317406 6666
face -413905954 00f0
face -413608842 6666
face -412728637 6666
face -412581280 6666
face -412546498 f000
face -412522107 dd00
face -411814618 f000
face -411200722 ffff
face -411046873 6666
face -411014530 ffff
face -410443362 0f00
face -410078822 6666
face -409351505 6666
face -408808745 6666
face -408539806 6666
face -408342625 000f
face -407460894 6666
face -407258421 6666
face -407151550 6666
face -407049385 6666
face -405042320 6666
face -404455081 6666
face -404263993 6666
face -404128787 6666
face -404092883 ffff
face -404023090 6666
face -403656167 6666
face -402806594 0f00
face -402488931 6666
face -402412114 ffff
face -401876117 000f
face -401430339 ffff
face -401098187 6666
face -400925604 6666
face -400602577 00f0
face -400004209 000f
face -399189699 00f0
face -398906437 6666
face -397370371 6666
face -397351517 ffff
face -397293659 6666
face -397055065 f000
face -396479032 6666
face -395908144 6666
face -394864814 6666
face -394682192 6666
face -394036198 f000
face -393948700 6666
face -393581278 6666
face -391972813 0f00
face -391450976 f000
face -391253952 6666
face -390426388 6666
face -389748814 6666
face -388509452 0f00
face -388489228 6666
face -388042781 6666
face -387759735 6666
face -387634760 6666
face -386932193 dd00
face -386158988 6666
face -386120456 dd00
face -384424822 6666
face -384350343 00f0
face -383946813 ffff
face -383847722 000f
face -382946017 f000
face -382279716 000f
face -381539816 6666
face -380657492 6666
face -379717876 6666
face -379637410 6666
face -378706155 00f0
face -378453723 6666
face -378452425 6666
face -378121366 ffff
face -378116046 6666
face -377219226 000f
face -375009225 f000
face -374581864 6666
face -374544672 ffff
face -374135736 6666
face -374053722 6666
face -372395119 000f
face -371582135 6666
face -371472499 0f00
face -370333477 000f
face -369581829 6666
face -369520671 6666
face -369468396 6666
face -367550049 6666
face -367413167 f000
face -366899865 ffff
face -366881325 6666
face -366439756 00f0
face -366204333 6666
face -366173670 ffff
face -365756948 f000
face -365430648 dd00
face -365005143 ffff
face -364919150 6666
face -364860735 6666
face -364833965 6666
face -363720797 000f
face -363373610 dd00
face -363271571 6666
face -363015554 000f
face -362985564 ffff
face -361951088 6666
face -360496877 00dd
face -359929529 6666
face -359833651 6666
face -358264447 6666
face -357586373 00f0
face -357089120 ffff
face -356580449 6666
face -354132391 6666
face -353874854 ffff
face -352431131 00f0
face -352331072 6666
face -352158247 6666
face -352069093 ffff
face -351689065 6666
face -351391842 6666
face -351326929 6666
